claim_id,location,claim_type,permitted_wording,permission,scope,numerator,denominator,estimate,uncertainty_or_diagnostic,canonical_output,caveat,prohibited_wording
C001,Methods 3.4; Table 1,provenance,The available export contained 212 questionnaires marked complete.,ALLOW,All completed responses,212,212,212,,table_1_sample_scope.csv,Completed response is the empirical unit.,212 Romanian firms
C002,Methods 3.4; Table 1,analytical scope,The primary analysis comprises 172 completed responses classified by employee band as SMEs.,ALLOW,SME-classified responses,172,172,172,,table_1_sample_scope.csv,"SME status is analytical, not a verified formal EU classification.",172 verified SMEs
C003,Methods 3.4; Table 1,case flow,Thirty-nine responses in the 250+ employee band are retained for case-flow transparency only and excluded from substantive comparisons.,ALLOW,250+ employee-band responses,39,212,39,,table_1_sample_scope.csv,Not a comparator or control group.,large-firm comparator effect
C004,Methods 3.4; Table 1,missingness,One completed response lacked employee-band classification and is excluded from band-specific estimates.,ALLOW,All completed responses,1,212,1,,table_1_sample_scope.csv,No imputation.,complete firm-size data
C005,Methods 3.1,collection window,Completed questionnaires analysed in the study were submitted between 17 and 31 August 2025.,ALLOW,Completed responses,,,17–31 August 2025,,case_flow_and_missingness.csv,Does not establish the invitation or fieldwork frame.,2024–2025 completed-response window
C006,Results 4.2; Table 2; Figure 1,descriptive,Reported active ai use is observed in 54/172 responses (31.4%).,ALLOW,SME-classified responses,54,172,31.4%,"95% descriptive Wilson interval [24.9, 38.7]",table_2_core_estimates.csv,Interval is conditional on observed response rows and does not quantify selection error.,national adoption/prevalence estimate
C007,Results 4.2; Table 2; Figure 1,descriptive,"Project-stage category covering planning, testing or deployment is observed in 51/172 responses (29.7%).",ALLOW,SME-classified responses,51,172,29.7%,"95% descriptive Wilson interval [23.3, 36.9]",table_2_core_estimates.csv,Interval is conditional on observed response rows and does not quantify selection error.,national adoption/prevalence estimate
C008,Results 4.2; Table 2,descriptive,Reported active use or project-stage engagement is observed in 105/172 responses (61.0%).,ALLOW,SME-classified responses,105,172,61.0%,"95% descriptive Wilson interval [53.6, 68.0]",table_2_core_estimates.csv,Interval is conditional on observed response rows and does not quantify selection error.,national adoption/prevalence estimate
C009,Results 4.3; Table 2; Figure 2,descriptive,High implementation costs is observed in 150/172 responses (87.2%).,ALLOW,SME-classified responses,150,172,87.2%,"95% descriptive Wilson interval [81.4, 91.4]",table_2_core_estimates.csv,Interval is conditional on observed response rows and does not quantify selection error.,national adoption/prevalence estimate
C010,Results 4.3; Table 2; Figure 2,descriptive,Lack of technical expertise is observed in 137/172 responses (79.7%).,ALLOW,SME-classified responses,137,172,79.7%,"95% descriptive Wilson interval [73.0, 85.0]",table_2_core_estimates.csv,Interval is conditional on observed response rows and does not quantify selection error.,national adoption/prevalence estimate
