order,section_order,section_roman,section_title_ro,section_title_en,question_code,stem_ro,stem_en,context_ro,context_en,opportunity_ro,opportunity_en,challenge_ro,challenge_en,disadvantage_ro,disadvantage_en,instruction_ro,instruction_en,response_format,response_format_ro,measurement_level,comments_structure,comments_structure_ro,answer_columns,comment_or_open_text_columns,complete_primary_response_n,complete_comment_or_open_text_n,mandatory_status,current_article_use,measurement_or_reporting_limit,reconstruction_note,reconstruction_note_ro,reconstruction_status
1,1,I,PROFILUL COMPANIEI,COMPANY PROFILE,Q00,Care este dimensiunea companiei dvs.?,What is the size of your company?,"Dimensiunea companiei poate influența capacitatea de adoptare a noilor tehnologii, cum ar fi AI. De obicei, întreprinderile mari dispun de resurse și echipe specializate, în timp ce întreprinderile mici pot obține îmbunătățiri rapide ale eficienței doar dacă depășesc limitările de resurse.","Company size may influence the capacity to adopt new technologies such as AI. Larger enterprises usually have more resources and specialised teams, whereas smaller enterprises may achieve rapid efficiency gains only if they overcome resource constraints.",Întreprinderile mari pot avea o flexibilitate bugetară mai mare pentru proiecte AI.,Larger enterprises may have greater budgetary flexibility for AI projects.,"Întreprinderile mici pot întâmpina costuri relative mai mari, dar pot fi ceva mai agile în adoptarea AI.","Smaller enterprises may face higher relative costs, but may be somewhat more agile in adopting AI.",,,,Select one response.,single choice,răspuns unic,ordinal categorical employee band,no separate comment field,fără câmp separat de comentariu,1,0,211,0,not recoverable from the available exports,Used: analytical size stratum,Not a verified full EU SME classification,The employee band is not a complete legal verification of SME status under the EU definition.,Intervalul numărului de angajați nu reprezintă o verificare juridică completă a statutului de IMM conform definiției Uniunii Europene.,verified reconstruction from paired exports
2,1,I,PROFILUL COMPANIEI,COMPANY PROFILE,G01Q02,În ce domeniu activează compania dvs.?,In which sector does your company operate?,"Domeniul în care activează compania poate determina rate diferite de adoptare a AI. Unele sectoare (IT, finanțe, sănătate) adoptă, de obicei, ceva mai rapid soluțiile bazate pe AI, în timp ce altele (producție, agricultură) se confruntă cu bariere tehnice și logistice.","The sector in which a company operates may be associated with different rates of AI adoption. Some sectors, such as IT, finance and healthcare, often adopt AI-based solutions more quickly, whereas others, such as manufacturing and agriculture, face technical and logistical barriers.",Domeniile cu acces la date și procese digitale pot beneficia rapid de inovațiile AI.,Sectors with access to data and digital processes may benefit rapidly from AI innovation.,Sectoarele cu reglementări stricte pot întâmpina rate mai scăzute de adoptare din cauza provocărilor legate de conformitate.,Highly regulated sectors may experience slower adoption because of compliance-related challenges.,,,Se pot alege mai multe răspunsuri:,Select all that apply.,multiple-response checklist with selected-option comments,listă cu răspunsuri multiple și comentarii asociate opțiunilor selectate,nominal multiple-response checklist,one binary flag and one elaborative comment field per response option,câte un indicator binar și câte un câmp de comentariu explicativ pentru fiecare opțiune de răspuns,9,9,212,211,not recoverable from the available exports,Not used in revised analysis,Potential quasi-identifier; comment fields excluded,Sector is a multiple-response item. Each selected option may have an associated elaborative comment and sector-comment combinations may act as quasi-identifiers.,"Domeniul este un item cu răspunsuri multiple. Fiecare opțiune selectată poate avea un comentariu explicativ asociat, iar combinațiile dintre domeniu și comentariu pot funcționa ca cvasi-identificatori.",verified reconstruction from paired exports
3,1,I,PROFILUL COMPANIEI,COMPANY PROFILE,G01Q03,Care este rolul dvs. în companie?,What is your role in the company?,"Înțelegerea rolului dvs. ne ajută să evaluăm modul în care perspective diferite (strategice, tehnice, operaționale) influențează opiniile despre adoptarea AI. Executivii, specialiștii IT, profesioniștii HR și managerii operaționali pot avea percepții, experiențe, provocări și oportunități diferite.","Understanding your role helps us assess how strategic, technical and operational perspectives influence views on AI adoption. Executives, IT specialists, HR professionals and operations managers may have different perceptions, experiences, challenges and opportunities.","Decidenții se concentrează pe beneficiile strategice și ROI, (de altfel) aspecte esențiale pentru investițiile AI.","Decision-makers focus on strategic benefits and return on investment, which are central to AI investment decisions.",Personalul tehnic poate avea priorități diferite (provocări de implementare) și care nu reflectă pe deplin considerentele strategice.,Technical staff may prioritise implementation challenges that do not fully reflect strategic considerations.,,,Se pot alege mai multe răspunsuri:,Select all that apply.,multiple-response checklist with selected-option comments,listă cu răspunsuri multiple și comentarii asociate opțiunilor selectate,nominal multiple-response checklist,one binary flag and one elaborative comment field per response option,câte un indicator binar și câte un câmp de comentariu explicativ pentru fiecare opțiune de răspuns,6,6,212,210,not recoverable from the available exports,Not used in revised analysis,Informant position and organisation uniqueness not verified,"Respondent role is a multiple-response item and does not verify the respondent’s authority, employment status or organisational uniqueness.","Rolul respondentului este un item cu răspunsuri multiple și nu verifică autoritatea respondentului, statutul său profesional sau unicitatea organizației reprezentate.",verified reconstruction from paired exports
4,2,II,ADOPTAREA TEHNOLOGIILOR AI,ADOPTION OF AI TECHNOLOGIES,G02Q04,Cât de familiarizat sunteți cu aplicațiile AI în afaceri?,How familiar are you with business applications of AI?,"Nivelul dvs. de familiarizare cu AI ar putea influența (conștient sau nu) modul în care compania d-voastră adoptă aceste tehnologii. O bună înțelegere poate duce la o adoptare timpurie/proactivă și, implicit, la un avantaj competitiv, în timp ce o cunoaștere limitată poate întârzia integrarea acestor tehnologii.","Your level of familiarity with AI may influence, consciously or otherwise, how your company adopts these technologies. A strong understanding may encourage earlier and more proactive adoption and therefore a competitive advantage, whereas limited knowledge may delay integration.","Experința (la orice nivel, fie și în scenarii strict personale) în utilizarea acestor tehnologii poate stimula o strategie proactivă și investiții timpurii.","Experience of these technologies at any level, including exclusively personal use, may encourage a proactive strategy and earlier investment.",Lipsa de familiarizare (anterioară) cu aceste tehnologii poate duce la o adoptare lentă și la pierderea unor oportunități.,Previous lack of familiarity with these technologies may lead to slower adoption and missed opportunities.,,,,Select one response. An optional explanatory comment is available.,single choice with a global explanatory comment,răspuns unic cu un comentariu explicativ general,partially ordered categorical item with construct conflation,one coded response and one global comment field,un răspuns codificat și un singur câmp de comentariu general,1,1,212,199,not recoverable from the available exports,Primary engagement outcome,"Combines planning, testing and deployment in one category; not a validated stage scale","The ordered categories mix familiarity with organisational engagement. The project-stage response combines budgeting, testing and implementation and must not be interpreted as verified deployment.","Categoriile ordonate combină familiaritatea cu implicarea organizațională. Răspunsul referitor la stadiul proiectului reunește bugetarea, testarea și implementarea și nu trebuie interpretat ca dovadă a unei utilizări operaționale verificate.",verified reconstruction from paired exports
5,2,II,ADOPTAREA TEHNOLOGIILOR AI,ADOPTION OF AI TECHNOLOGIES,G01Q05,Care sunt principalele motive pentru care luați (ați luat) în considerare adoptarea unei soluții AI în compania dvs.?,What are the main reasons why your company is considering or has considered adopting an AI solution?,"Companiile adoptă AI din diverse motive strategice și operaționale, cum ar fi reducerea costurilor, creșterea eficienței, obținerea unui avantaj competitiv, îmbunătățirea experienței clienților și sprijinirea deciziilor bazate pe date.","Companies adopt AI for various strategic and operational reasons, including cost reduction, efficiency gains, competitive advantage, improved customer experience and support for data-informed decision-making.",Aceste motive pot conduce la îmbunătățiri semnificative în productivitate și profitabilitate.,These motivations may lead to substantial improvements in productivity and profitability.,Accentul prea mare pe reducerea costurilor poate afecta investițiile în capitalul uman și inovația.,An excessive emphasis on cost reduction may weaken investment in human capital and innovation.,,,Se pot alege mai multe răspunsuri:,Select all that apply.,multiple-response checklist with selected-option comments,listă cu răspunsuri multiple și comentarii asociate opțiunilor selectate,nominal multiple-response checklist,one binary flag and one elaborative comment field per response option,câte un indicator binar și câte un câmp de comentariu explicativ pentru fiecare opțiune de răspuns,5,5,212,206,not recoverable from the available exports,Not reported,Perceived motivations; not causal drivers,"The item records perceived motivations, not causal drivers of adoption.","Itemul înregistrează motivații percepute, nu determinanți cauzali ai adoptării.",verified reconstruction from paired exports
6,3,III,PROVOCĂRI ÎN IMPLEMENTAREA AI,CHALLENGES IN AI IMPLEMENTATION,G01Q06,Care sunt (au fost) cele mai mari bariere în adoptarea AI în compania dvs.?,What are or have been the greatest barriers to AI adoption in your company?,"Identificarea principalelor dificultăți în adoptarea AI ne ajută să înțelegem provocările cu care se confruntă companiile. Barierele comune includ costurile mari inițiale, lipsa de expertiză tehnică, incertitudinea privind ROI, problemele de reglementare și rezistența angajaților la schimbări.","Identifying the main difficulties in AI adoption helps clarify the challenges companies face. Common barriers include high initial costs, lack of technical expertise, uncertainty about return on investment, regulatory issues and employee resistance to change.",Recunoașterea acestor bariere este primul pas pentru dezvoltarea unor strategii eficinte/țintite de depășire a lor.,Recognising these barriers is a first step towards developing targeted strategies to overcome them.,"Unele bariere pot fi dificil de depășit, cum ar fi reglementările stricte sau rezistența culturală.","Some barriers, including strict regulation or cultural resistance, may be difficult to overcome.",,,Se pot alege mai multe răspunsuri:,Select all that apply.,multiple-response checklist with selected-option comments,listă cu răspunsuri multiple și comentarii asociate opțiunilor selectate,nominal multiple-response checklist,one binary flag and one elaborative comment field per response option,câte un indicator binar și câte un câmp de comentariu explicativ pentru fiecare opțiune de răspuns,6,6,212,207,not recoverable from the available exports,Reported descriptively,Perceived constraints; no validated scale,The options are perceived constraints and do not form a validated barrier scale.,Opțiunile descriu constrângeri percepute și nu formează o scală validată a barierelor.,verified reconstruction from paired exports
7,4,IV,AI ȘI IMPACTUL ASUPRA LOCURILOR DE MUNCĂ,AI AND THE IMPACT ON EMPLOYMENT,G01Q07,Cum credeți că AI va afecta dinamica locurilor de muncă în domeniul dvs.?,How do you think AI will affect employment dynamics in your field?,"Există dezbateri privind impactul AI asupra locurilor de muncă: unii consideră că AI va automatiza sarcinile repetitive și va crea noi oportunități (în domenii precum mentenanța și supravegherea AI), în timp ce alții se tem de o eliminare masivă a joburilor.","There is continuing debate about the effect of AI on employment. Some expect AI to automate repetitive tasks and create new opportunities in areas such as AI maintenance and oversight, whereas others fear extensive job displacement.","AI ar putea elibera din timpul angajaților, pentru a se concentra pe activități mai creative și cu valoare adăugată.",AI may free employees from some tasks so that they can focus on more creative and higher-value activities.,"Automatizarea rapidă ar putea depăși viteza de apariție a unor noi locuri de muncă, conducând la șomaj structural.",Rapid automation may outpace the creation of new jobs and contribute to structural unemployment.,,,,Select one response. An optional explanatory comment is available.,single choice with a global explanatory comment,răspuns unic cu un comentariu explicativ general,nominal categorical expectation item,one coded response and one global comment field,un răspuns codificat și un singur câmp de comentariu general,1,1,212,200,not recoverable from the available exports,Not reported,Expectation rather than observed employment outcome,The response concerns expectations about employment rather than observed employment effects.,"Răspunsul privește așteptări referitoare la ocuparea forței de muncă, nu efecte observate asupra locurilor de muncă.",verified reconstruction from paired exports
8,4,IV,AI ȘI IMPACTUL ASUPRA LOCURILOR DE MUNCĂ,AI AND THE IMPACT ON EMPLOYMENT,G04Q08,Ce măsuri ia (ar lua) compania dvs. pentru a-și pregăti angajații pentru integrarea AI?,What measures does or would your company take to prepare employees for AI integration?,"Adoptarea cu succes a soluțiilor AI, necesită pregătirea angajaților prin programe de perfecționare și recalificare. Companiile care investesc în formarea continuă a angajaților pot integra AI mult mai eficient.",Successful adoption of AI solutions requires employee preparation through upskilling and reskilling programmes. Companies that invest in continuous employee development may integrate AI more effectively.,Programele proactive de instruire pot ușura tranziția și pot reduce perturbările în forța de muncă.,Proactive training programmes may ease the transition and reduce workforce disruption.,Programele de recalificare necesită investiții semnificative și rezultate se pot vedea doar pe termen lung.,Reskilling programmes require substantial investment and their effects may emerge only over the longer term.,,,Se pot alege mai multe răspunsuri:,Select all that apply.,multiple-response checklist with selected-option comments,listă cu răspunsuri multiple și comentarii asociate opțiunilor selectate,nominal multiple-response checklist,one binary flag and one elaborative comment field per response option,câte un indicator binar și câte un câmp de comentariu explicativ pentru fiecare opțiune de răspuns,6,6,212,204,not recoverable from the available exports,Reported descriptively,Overlapping selections; “no measures” can coexist with positive options,Selections overlap. The response “no specific measures” can coexist with positive measures and therefore requires an explicit sensitivity rule.,"Selecțiile se pot suprapune. Răspunsul „nu se iau măsuri specifice” poate coexista cu măsuri pozitive, ceea ce impune o regulă explicită de analiză de sensibilitate.",verified reconstruction from paired exports
9,5,V,AI ÎN VIITORUL AFACERILOR,AI IN THE FUTURE OF BUSINESS,G05Q09,În ce aplicații AI vedeți cel mai mare potențial pentru valoare adăugată în afaceri?,In which AI applications do you see the greatest potential to add value to business?,"AI are multiple aplicații care pot transforma operațiunile de afaceri. Unele domenii, cum ar fi automatizarea proceselor sau chatboții în serviciile pentru clienți, pot oferi beneficii imediate. Altele, cum ar fi analizele AI, pot crea avantaje competitive pe termen lung.","AI has many applications that may transform business operations. Some areas, including process automation and customer-service chatbots, may offer immediate benefits. Others, including AI-based analytics, may create longer-term competitive advantages.",Aplicațiile AI bine direcționate pot aduce îmbunătățiri operaționale semnificative și economii de costuri.,Well-targeted AI applications may deliver substantial operational improvements and cost savings.,"Investițiile greșit direcționate în AI pot conduce la rezultate sub așteptări (ex. .construirea unor solutii ""in-house"" vs integrarea unor soluții ""la cheie"")","Misallocated AI investment may produce disappointing results, for example when choosing between an in-house solution and integration of an off-the-shelf product.",,,Se pot alege mai multe răspunsuri:,Select all that apply.,multiple-response checklist with selected-option comments,listă cu răspunsuri multiple și comentarii asociate opțiunilor selectate,nominal multiple-response checklist,one binary flag and one elaborative comment field per response option,câte un indicator binar și câte un câmp de comentariu explicativ pentru fiecare opțiune de răspuns,6,6,212,208,not recoverable from the available exports,Not reported,Perceived opportunities,"The item records perceived opportunity areas, not realised value or measured return.","Itemul înregistrează domenii de oportunitate percepute, nu valoare realizată sau rentabilitate măsurată.",verified reconstruction from paired exports
10,5,V,AI ÎN VIITORUL AFACERILOR,AI IN THE FUTURE OF BUSINESS,G05Q10,"Credeți că AI ar putea duce la o creștere economică explozivă, depășind limitele tradiționale (max 12% GDP)?",Do you believe that AI could lead to explosive economic growth beyond traditional limits (maximum 12% GDP)?,"Unii teoreticieni susțin că AI, prin reducerea costurilor marginale și automatizarea forței de muncă, ar putea stimula o creștere economică fără precedent. Totuși, limitările fizice și reglementările ar putea tempera această creștere.",Some theorists argue that AI may generate unprecedented growth by reducing marginal costs and automating labour. Physical constraints and regulation may nevertheless temper that growth.,"Teoretic, AI poate spori productivitatea și output-ul economic.","In theory, AI may increase productivity and economic output.",Constrângerile practice pot limita potențialul de creștere exponențială.,Practical constraints may limit the potential for exponential growth.,,,,Select one response. An optional explanatory comment is available.,single choice with a global explanatory comment,răspuns unic cu un comentariu explicativ general,ordered expectation item with ambiguous benchmark,one coded response and one global comment field,un răspuns codificat și un singur câmp de comentariu general,1,1,212,201,not recoverable from the available exports,Not reported,Speculative macroeconomic expectation,"The expression “maximum 12% GDP” does not specify a time horizon, denominator or geographic unit and should be treated as ambiguous source wording.","Expresia „maximum 12% PIB” nu precizează orizontul temporal, numitorul sau unitatea geografică și trebuie tratată ca formulare-sursă ambiguă.",verified reconstruction from paired exports
