question_order,question_code,question_text_ro,response_type_inferred,number_of_answer_columns,options_ro,comment_columns,missingness_completed_main_columns,skip_logic_detected,construct_mapping,validity_notes
1,Q00,Care este dimensiunea companiei dvs.?,single-choice categorical/ordinal item,1,,0,Q00:1,"No substantive skip logic detected in complete cases. lastpage is a completion/progress field, not analytical skip evidence.",firm profile / organisational size,"Structurally usable, but construct validity remains limited by self-report, single-item measures and non-probability recruitment."
2,G01Q02,În ce domeniu activează compania dvs.?,multiple-response checklist; one binary column per option plus optional comment columns,9,Producție | Retail & Comerț electronic | Finanțe & Bănci | Sănătate & Industria farmaceutică | IT & Software | Transport & Logistică | Agricultură | Energie | Altul (vă rugăm să specificați),9,G01Q02[SQ001]:0; G01Q02[SQ002]:0; G01Q02[SQ003]:0; G01Q02[SQ004]:0; G01Q02[SQ005]:0; G01Q02[SQ006]:0; G01Q02[SQ007]:0; G01Q02[SQ008]:0,"No substantive skip logic detected in complete cases. lastpage is a completion/progress field, not analytical skip evidence.",sectoral context / environment,9 comment/free-text column(s) are present; public release requires exclusion or manual review.
3,G01Q03,Care este rolul dvs. în companie?,multiple-response checklist; one binary column per option plus optional comment columns,6,CEO / Proprietar de afacere | Manager Senior / Director | Specialist IT / AI | HR / Dezvoltare Resurse Umane | Manager de Operațiuni | Altul (vă rugăm să specificați),6,G01Q03[SQ001]:0; G01Q03[SQ002]:0; G01Q03[SQ003]:0; G01Q03[SQ004]:0; G01Q03[SQ005]:0; G01Q03[SQ006]:0,"No substantive skip logic detected in complete cases. lastpage is a completion/progress field, not analytical skip evidence.",respondent role / informant position,6 comment/free-text column(s) are present; public release requires exclusion or manual review.
4,G02Q04,Cât de familiarizat sunteți cu aplicațiile AI în afaceri?,single-choice categorical/ordinal item,1,,1,G02Q04:0,"No substantive skip logic detected in complete cases. lastpage is a completion/progress field, not analytical skip evidence.",AI familiarity and adoption-readiness,1 comment/free-text column(s) are present; public release requires exclusion or manual review.
5,G01Q05,Care sunt principalele motive pentru care luați (ați luat) în considerare adoptarea unei soluții AI în compania dvs.?,multiple-response checklist; one binary column per option plus optional comment columns,5,Reducerea costurilor & îmbunătățirea eficienței | Avantaj competitive/strategic | Experiență îmbunătățită pentru clienți & personalizarea unor servicii | Facilitarea deciziilor bazate pe date | Altul (vă rugăm să specificați),5,G01Q05[SQ001]:0; G01Q05[SQ002]:0; G01Q05[SQ003]:0; G01Q05[SQ004]:0; G01Q05[SQ005]:0,"No substantive skip logic detected in complete cases. lastpage is a completion/progress field, not analytical skip evidence.",drivers / perceived relative advantage,5 comment/free-text column(s) are present; public release requires exclusion or manual review.
6,G01Q06,Care sunt (au fost) cele mai mari bariere în adoptarea AI în compania dvs.?,multiple-response checklist; one binary column per option plus optional comment columns,6,Costuri mari de implementare | Lipsa expertizei tehnice | Incertitudini privind impactul AI | Îngrijorări legate de reglementări sau etică | Rezistență din partea angajaților | Nivelul de maturitate al noilor tehnologii este inca scazut,6,G01Q06[SQ001]:0; G01Q06[SQ002]:0; G01Q06[SQ003]:0; G01Q06[SQ004]:0; G01Q06[SQ005]:0; G01Q06[SQ006]:0,"No substantive skip logic detected in complete cases. lastpage is a completion/progress field, not analytical skip evidence.",barriers / capability pressure,6 comment/free-text column(s) are present; public release requires exclusion or manual review.
7,G01Q07,Cum credeți că AI va afecta dinamica locurilor de muncă în domeniul dvs.?,single-choice categorical/ordinal item,1,,1,G01Q07:0,"No substantive skip logic detected in complete cases. lastpage is a completion/progress field, not analytical skip evidence.",workforce impact expectations,1 comment/free-text column(s) are present; public release requires exclusion or manual review.
8,G04Q08,Ce măsuri ia (ar lua) compania dvs. pentru a-și pregăti angajații pentru integrarea AI?,multiple-response checklist; one binary column per option plus optional comment columns,6,"Programe (interne) de mentorat/instruire în utilizarea AI pentru angajați | Nu avem încă măsuri specifice | Abonamente (suportate de angajator) pentru unelte specifice: general-purpose AI tools and coding assistants | Decontarea unor certificări/cursuri online de instruire în utilizarea AI pentru angajați | Angajarea unor consultanți externi pentru certificări/cursuri de instruire în utilizarea AI pentru angajați | Parteneriate cu universități pentru instruirea angajaților în utilizarea AI",6,G04Q08[SQ001]:0; G04Q08[SQ003]:0; G04Q08[SQ006]:0; G04Q08[SQ007]:0; G04Q08[SQ008]:0; G04Q08[SQ009]:0,"No substantive skip logic detected in complete cases. lastpage is a completion/progress field, not analytical skip evidence.",workforce capability and upskilling,6 comment/free-text column(s) are present; public release requires exclusion or manual review.
9,G05Q09,În ce aplicații AI vedeți cel mai mare potențial pentru valoare adăugată în afaceri?,multiple-response checklist; one binary column per option plus optional comment columns,6,Automatizarea proceselor | Analize și prognoze bazate pe AI | Chatbot-uri pentru servicii clienți | Securitate cibernetică bazată pe AI | Marketing îmbunătățit cu AI | Altul (vă rugăm să specificați),6,G05Q09[SQ001]:0; G05Q09[SQ002]:0; G05Q09[SQ003]:0; G05Q09[SQ004]:0; G05Q09[SQ005]:0; G05Q09[SQ006]:0,"No substantive skip logic detected in complete cases. lastpage is a completion/progress field, not analytical skip evidence.",perceived application opportunities,6 comment/free-text column(s) are present; public release requires exclusion or manual review.
10,G05Q10,"Credeți că AI ar putea duce la o creștere economică explozivă, depășind limitele tradiționale (max 12% GDP)?",single-choice categorical/ordinal item,1,,1,G05Q10:0,"No substantive skip logic detected in complete cases. lastpage is a completion/progress field, not analytical skip evidence.",competitiveness and strategic necessity,1 comment/free-text column(s) are present; public release requires exclusion or manual review.
11,G06Q11,Credeți că AI ar trebui să fie mai bine reglementată pentru a preveni riscurile economice și etice?,single-choice categorical/ordinal item,1,,1,G06Q11:0,"No substantive skip logic detected in complete cases. lastpage is a completion/progress field, not analytical skip evidence.",ethical or responsible AI benefits/risks,1 comment/free-text column(s) are present; public release requires exclusion or manual review.
12,G01Q12,Care este cea mai mare îngrijorare legată de etică în privința utilizării AI în afaceri?,single-choice categorical/ordinal item,1,,1,G01Q12:0,"No substantive skip logic detected in complete cases. lastpage is a completion/progress field, not analytical skip evidence.",ethical implementation priorities,1 comment/free-text column(s) are present; public release requires exclusion or manual review.
13,G01Q13,Cât de competitivă credeți că este România în adoptarea AI comparativ cu alte țări europene?,single-choice categorical/ordinal item,1,,1,G01Q13:0,"No substantive skip logic detected in complete cases. lastpage is a completion/progress field, not analytical skip evidence.",policy/regulatory attitude,1 comment/free-text column(s) are present; public release requires exclusion or manual review.
