source_column_number,source_code,proposed_clean_name,base_question_code,question_order,section_order,section_title_en,component,option_code,option_label_ro,option_label_en,source_header_ro,response_format,measurement_level,storage_type,coded_value_semantics,missing_value_semantics,nonempty_all_attempts,nonempty_complete_responses,distinct_nonempty_values,current_article_use,measurement_or_reporting_limit,preliminary_release_class
1,id,source_response_id,,,,,administrative or platform field,,,,ID-ul raspunsului,administrative metadata,not a substantive survey measure,text,,blank = no stored value or item not reached; interpretation depends on completion status,289,212,289,,,remove from any release
2,submitdate,submitted_at,,,,,administrative or platform field,,,,Dată trimisă,administrative metadata,not a substantive survey measure,text,,blank = no stored value or item not reached; interpretation depends on completion status,212,212,212,,,remove or substantially generalise
3,lastpage,last_page,,,,,administrative or platform field,,,,Ultima pagina,administrative metadata,not a substantive survey measure,text,,blank = no stored value or item not reached; interpretation depends on completion status,279,212,21,,,exclude unless specifically justified
4,startlanguage,survey_language,,,,,administrative or platform field,,,,Limba de pornire,administrative metadata,not a substantive survey measure,text,,blank = no stored value or item not reached; interpretation depends on completion status,289,212,1,,,exclude unless specifically justified
5,seed,source_seed,,,,,administrative or platform field,,,,Seed,administrative metadata,not a substantive survey measure,text,,blank = no stored value or item not reached; interpretation depends on completion status,289,212,289,,,remove from any release
6,startdate,started_at,,,,,administrative or platform field,,,,Data începerii,administrative metadata,not a substantive survey measure,text,,blank = no stored value or item not reached; interpretation depends on completion status,289,212,289,,,remove or substantially generalise
7,datestamp,last_action_at,,,,,administrative or platform field,,,,Adaugă data ultimei acțiuni,administrative metadata,not a substantive survey measure,text,,blank = no stored value or item not reached; interpretation depends on completion status,289,212,289,,,remove or substantially generalise
8,ipaddr,ip_address,,,,,administrative or platform field,,,,Adresa IP,administrative metadata,not a substantive survey measure,text,,blank = no stored value or item not reached; interpretation depends on completion status,289,212,69,,,remove from any release
9,Q00,company_size_band,Q00,1,1,COMPANY PROFILE,single-choice structured response,,,,"Care este dimensiunea companiei dvs.? Context: Dimensiunea companiei poate influența capacitatea de adoptare a noilor tehnologii, cum ar fi AI. De obicei, întreprinderile mari dispun de resurse și echipe specializate, în timp ce întreprinderile mici pot obține îmbunătățiri rapide ale eficienței doar dacă depășesc limitările de resurse. Oportunități: Întreprinderile mari pot avea o flexibilitate bugetară mai mare pentru proiecte AI. Provocări: Întreprinderile mici pot întâmpina costuri relative mai mari, dar pot fi ceva mai agile în adoptarea AI.",single choice,ordinal categorical employee band,categorical code stored as text,AO04 = Micro-enterprise (1-9 employees) | AO05 = Small enterprise (10-49 employees) | AO06 = Medium-sized enterprise (50-249 employees) | AO07 = Large enterprise (250 or more employees),blank = no category recorded,273,211,4,Used as the analytical employee-band stratum,Not a verified full EU SME classification,public instrument documentation; no respondent values
10,G01Q02[SQ001],sector_manufacturing,G01Q02,2,1,COMPANY PROFILE,multiple-response option flag,SQ001,Producție,Manufacturing,"În ce domeniu activează compania dvs.? Context: Domeniul în care activează compania poate determina rate diferite de adoptare a AI. Unele sectoare (IT, finanțe, sănătate) adoptă, de obicei, ceva mai rapid soluțiile bazate pe AI, în timp ce altele (producție, agricultură) se confruntă cu bariere tehnice și logistice. Oportunități: Domeniile cu acces la date și procese digitale pot beneficia rapid de inovațiile AI. Provocări: Sectoarele cu reglementări stricte pot întâmpina rate mai scăzute de adoptare din cauza provocărilor legate de conformitate. Se pot alege mai multe răspunsuri: [Producție]",multiple-response checklist with selected-option comments,nominal multiple-response checklist,binary coded text,1 = selected; 0 = not selected; blank = no stored value,"for complete rows, 0 means not selected; blank requires case-flow review",272,212,2,Not used in the reported analysis,Potential quasi-identifier; comment fields not included in the reported analysis,public instrument documentation; no respondent values
11,G01Q02[SQ001comment],sector_manufacturing_comment,G01Q02,2,1,COMPANY PROFILE,free-text or comment field,,,,"În ce domeniu activează compania dvs.? Context: Domeniul în care activează compania poate determina rate diferite de adoptare a AI. Unele sectoare (IT, finanțe, sănătate) adoptă, de obicei, ceva mai rapid soluțiile bazate pe AI, în timp ce altele (producție, agricultură) se confruntă cu bariere tehnice și logistice. Oportunități: Domeniile cu acces la date și procese digitale pot beneficia rapid de inovațiile AI. Provocări: Sectoarele cu reglementări stricte pot întâmpina rate mai scăzute de adoptare din cauza provocărilor legate de conformitate. Se pot alege mai multe răspunsuri: [Producție][Comentariu]",multiple-response checklist with selected-option comments,nominal multiple-response checklist,UTF-8 text,,blank = no comment or open-text response recorded,50,41,42,Not used in the reported analysis,Potential quasi-identifier; comment fields not included in the reported analysis,"manual disclosure review, redaction, language identification and translation required"
12,G01Q02[SQ002],sector_retail_ecommerce,G01Q02,2,1,COMPANY PROFILE,multiple-response option flag,SQ002,Retail & Comerț electronic,Retail and e-commerce,"În ce domeniu activează compania dvs.? Context: Domeniul în care activează compania poate determina rate diferite de adoptare a AI. Unele sectoare (IT, finanțe, sănătate) adoptă, de obicei, ceva mai rapid soluțiile bazate pe AI, în timp ce altele (producție, agricultură) se confruntă cu bariere tehnice și logistice. Oportunități: Domeniile cu acces la date și procese digitale pot beneficia rapid de inovațiile AI. Provocări: Sectoarele cu reglementări stricte pot întâmpina rate mai scăzute de adoptare din cauza provocărilor legate de conformitate. Se pot alege mai multe răspunsuri: [Retail & Comerț electronic]",multiple-response checklist with selected-option comments,nominal multiple-response checklist,binary coded text,1 = selected; 0 = not selected; blank = no stored value,"for complete rows, 0 means not selected; blank requires case-flow review",272,212,2,Not used in the reported analysis,Potential quasi-identifier; comment fields not included in the reported analysis,public instrument documentation; no respondent values
13,G01Q02[SQ002comment],sector_retail_ecommerce_comment,G01Q02,2,1,COMPANY PROFILE,free-text or comment field,,,,"În ce domeniu activează compania dvs.? Context: Domeniul în care activează compania poate determina rate diferite de adoptare a AI. Unele sectoare (IT, finanțe, sănătate) adoptă, de obicei, ceva mai rapid soluțiile bazate pe AI, în timp ce altele (producție, agricultură) se confruntă cu bariere tehnice și logistice. Oportunități: Domeniile cu acces la date și procese digitale pot beneficia rapid de inovațiile AI. Provocări: Sectoarele cu reglementări stricte pot întâmpina rate mai scăzute de adoptare din cauza provocărilor legate de conformitate. Se pot alege mai multe răspunsuri: [Retail & Comerț electronic][Comentariu]",multiple-response checklist with selected-option comments,nominal multiple-response checklist,UTF-8 text,,blank = no comment or open-text response recorded,29,23,22,Not used in the reported analysis,Potential quasi-identifier; comment fields not included in the reported analysis,"manual disclosure review, redaction, language identification and translation required"
14,G01Q02[SQ003],sector_finance_banking,G01Q02,2,1,COMPANY PROFILE,multiple-response option flag,SQ003,Finanțe & Bănci,Finance and banking,"În ce domeniu activează compania dvs.? Context: Domeniul în care activează compania poate determina rate diferite de adoptare a AI. Unele sectoare (IT, finanțe, sănătate) adoptă, de obicei, ceva mai rapid soluțiile bazate pe AI, în timp ce altele (producție, agricultură) se confruntă cu bariere tehnice și logistice. Oportunități: Domeniile cu acces la date și procese digitale pot beneficia rapid de inovațiile AI. Provocări: Sectoarele cu reglementări stricte pot întâmpina rate mai scăzute de adoptare din cauza provocărilor legate de conformitate. Se pot alege mai multe răspunsuri: [Finanțe & Bănci]",multiple-response checklist with selected-option comments,nominal multiple-response checklist,binary coded text,1 = selected; 0 = not selected; blank = no stored value,"for complete rows, 0 means not selected; blank requires case-flow review",272,212,2,Not used in the reported analysis,Potential quasi-identifier; comment fields not included in the reported analysis,public instrument documentation; no respondent values
15,G01Q02[SQ003comment],sector_finance_banking_comment,G01Q02,2,1,COMPANY PROFILE,free-text or comment field,,,,"În ce domeniu activează compania dvs.? Context: Domeniul în care activează compania poate determina rate diferite de adoptare a AI. Unele sectoare (IT, finanțe, sănătate) adoptă, de obicei, ceva mai rapid soluțiile bazate pe AI, în timp ce altele (producție, agricultură) se confruntă cu bariere tehnice și logistice. Oportunități: Domeniile cu acces la date și procese digitale pot beneficia rapid de inovațiile AI. Provocări: Sectoarele cu reglementări stricte pot întâmpina rate mai scăzute de adoptare din cauza provocărilor legate de conformitate. Se pot alege mai multe răspunsuri: [Finanțe & Bănci][Comentariu]",multiple-response checklist with selected-option comments,nominal multiple-response checklist,UTF-8 text,,blank = no comment or open-text response recorded,13,12,13,Not used in the reported analysis,Potential quasi-identifier; comment fields not included in the reported analysis,"manual disclosure review, redaction, language identification and translation required"
16,G01Q02[SQ004],sector_healthcare_pharmaceuticals,G01Q02,2,1,COMPANY PROFILE,multiple-response option flag,SQ004,Sănătate & Industria farmaceutică,Healthcare and pharmaceuticals,"În ce domeniu activează compania dvs.? Context: Domeniul în care activează compania poate determina rate diferite de adoptare a AI. Unele sectoare (IT, finanțe, sănătate) adoptă, de obicei, ceva mai rapid soluțiile bazate pe AI, în timp ce altele (producție, agricultură) se confruntă cu bariere tehnice și logistice. Oportunități: Domeniile cu acces la date și procese digitale pot beneficia rapid de inovațiile AI. Provocări: Sectoarele cu reglementări stricte pot întâmpina rate mai scăzute de adoptare din cauza provocărilor legate de conformitate. Se pot alege mai multe răspunsuri: [Sănătate & Industria farmaceutică]",multiple-response checklist with selected-option comments,nominal multiple-response checklist,binary coded text,1 = selected; 0 = not selected; blank = no stored value,"for complete rows, 0 means not selected; blank requires case-flow review",272,212,2,Not used in the reported analysis,Potential quasi-identifier; comment fields not included in the reported analysis,public instrument documentation; no respondent values
17,G01Q02[SQ004comment],sector_healthcare_pharmaceuticals_comment,G01Q02,2,1,COMPANY PROFILE,free-text or comment field,,,,"În ce domeniu activează compania dvs.? Context: Domeniul în care activează compania poate determina rate diferite de adoptare a AI. Unele sectoare (IT, finanțe, sănătate) adoptă, de obicei, ceva mai rapid soluțiile bazate pe AI, în timp ce altele (producție, agricultură) se confruntă cu bariere tehnice și logistice. Oportunități: Domeniile cu acces la date și procese digitale pot beneficia rapid de inovațiile AI. Provocări: Sectoarele cu reglementări stricte pot întâmpina rate mai scăzute de adoptare din cauza provocărilor legate de conformitate. Se pot alege mai multe răspunsuri: [Sănătate & Industria farmaceutică][Comentariu]",multiple-response checklist with selected-option comments,nominal multiple-response checklist,UTF-8 text,,blank = no comment or open-text response recorded,17,15,12,Not used in the reported analysis,Potential quasi-identifier; comment fields not included in the reported analysis,"manual disclosure review, redaction, language identification and translation required"
18,G01Q02[SQ005],sector_it_software,G01Q02,2,1,COMPANY PROFILE,multiple-response option flag,SQ005,IT & Software,IT and software,"În ce domeniu activează compania dvs.? Context: Domeniul în care activează compania poate determina rate diferite de adoptare a AI. Unele sectoare (IT, finanțe, sănătate) adoptă, de obicei, ceva mai rapid soluțiile bazate pe AI, în timp ce altele (producție, agricultură) se confruntă cu bariere tehnice și logistice. Oportunități: Domeniile cu acces la date și procese digitale pot beneficia rapid de inovațiile AI. Provocări: Sectoarele cu reglementări stricte pot întâmpina rate mai scăzute de adoptare din cauza provocărilor legate de conformitate. Se pot alege mai multe răspunsuri: [IT & Software]",multiple-response checklist with selected-option comments,nominal multiple-response checklist,binary coded text,1 = selected; 0 = not selected; blank = no stored value,"for complete rows, 0 means not selected; blank requires case-flow review",272,212,2,Not used in the reported analysis,Potential quasi-identifier; comment fields not included in the reported analysis,public instrument documentation; no respondent values
19,G01Q02[SQ005comment],sector_it_software_comment,G01Q02,2,1,COMPANY PROFILE,free-text or comment field,,,,"În ce domeniu activează compania dvs.? Context: Domeniul în care activează compania poate determina rate diferite de adoptare a AI. Unele sectoare (IT, finanțe, sănătate) adoptă, de obicei, ceva mai rapid soluțiile bazate pe AI, în timp ce altele (producție, agricultură) se confruntă cu bariere tehnice și logistice. Oportunități: Domeniile cu acces la date și procese digitale pot beneficia rapid de inovațiile AI. Provocări: Sectoarele cu reglementări stricte pot întâmpina rate mai scăzute de adoptare din cauza provocărilor legate de conformitate. Se pot alege mai multe răspunsuri: [IT & Software][Comentariu]",multiple-response checklist with selected-option comments,nominal multiple-response checklist,UTF-8 text,,blank = no comment or open-text response recorded,62,47,55,Not used in the reported analysis,Potential quasi-identifier; comment fields not included in the reported analysis,"manual disclosure review, redaction, language identification and translation required"
